Time;Longitude;Latitude;Speed(km/h);UC-ID;RNC-ID;C-ID;Frequency;RRC State;MCC;MNC;LAC;Rx Power(W);Tx Power(W);SIR;BLER(W);SF(Downlink);SF(Uplink);Best PSC(W);RxQual;RxLev;Combined EcIo(W);Top 1 PSC;Top 1 EcIo;Top 2 PSC;Top 2 EcIo;Top 3 PSC;Top 3 EcIo;Top 4 PSC;Top 4 EcIo;CQI;System Type;Success Rate;BLER(HARQ);Retrans Rate;No. of Codes;Phy Layer Throughput(Requested);Phy Layer Throughput(Served);Phy Layer Throughput(Scheduled);RLC Layer Throughput;MAC-hs Layer Throughput;RLC Layer(AM) UL TP;RLC Layer(AM) DL TP;Call Event;Rx APP Throughput;Tx APP Throughput;Rx TCP/UDP Throughput;Tx TCP/UDP Throughput;Rx IP Throughput;Tx IP Throughput;Rx PPP Throughput;Tx PPP Throughput
 08/11/2010 11:08:06.797;10.207;36.82899;79;;;;;;;;;-58.92;;;;;;19;-4.17;-63;-6.79;19;-10.95;19;-12.01;19;-13.43;19;-23.99;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/11/2010 11:08:07.798;10.20722;36.82908;78;;;;;;;;;-56.75;;;;;;19;-2.87;-61.7;-2.73;19;-5.51;19;-5.98;;;;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/11/2010 11:08:08.799;10.20743;36.82917;77;;;;;;;;;-55.33;;;;;;19;-4.04;-61.54;-3.8;19;-6.53;19;-7.11;;;;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/11/2010 11:08:09.863;10.20764;36.82926;75;;;;;;;;;-61.42;;;;;;19;-2.18;-63.1;-3.02;19;-5.8;19;-6.26;;;;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/11/2010 11:08:10.865;10.20784;36.82935;74;;;;;;;;;-56.25;;;;;;19;-3.12;-64.04;-2.56;19;-5.3;19;-5.86;;;;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/11/2010 11:08:11.866;10.20804;36.82944;73;;;;;;;;;-52.5;;;;;;19;-3.81;-64.73;-4.94;19;-7.66;19;-8.27;;;;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/11/2010 11:08:12.906;10.20844;36.82961;72;;;;;;;;;-60.92;;;;;;19;-2.9;-63.82;-3.33;19;-6.07;19;-6.64;;;;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/11/2010 11:08:13.998;10.20863;36.82969;71;;;;;;;;;-65.08;;;;;;19;-3.31;-64.73;-5.36;19;-5.36;;;;;;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/11/2010 11:08:15.000;10.20882;36.82977;70;;;;2162.6;;;;;-68;;;;;;19;-8.43;-73.1;-7.8;19;-10.36;19;-11.31;;;;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/11/2010 11:08:16.000;10.20898;36.82984;64;;;;2162.6;;;;;-66.58;;;;;;19;-7.14;-71.8;-9.43;19;-12.21;19;-12.68;;;;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/11/2010 11:08:17.016;10.20914;36.82991;58;;;;2162.6;CELL_DCH;605;1;10011;-62.83;-22.04;-11.88;;128;256;19;-3.58;-68.5;-5.8;19;-7.63;19;-10.43;;;;;;WCDMA;;;;;;;;0;;;;Attempt;;;;;;;;
 08/11/2010 11:08:18.018;10.20927;36.82997;52;;;;2162.6;CELL_DCH;605;1;10011;-68.17;-21.55;9.18;;256;256;19;-3.4;-68.91;-6.12;91;-9.32;19;-12.46;19;-13.83;19;-17.7;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/11/2010 11:08:19.021;10.2094;36.83003;49;;;;2162.6;CELL_DCH;605;1;10011;-67.67;-19.16;9.35;0;256;256;19;-4.81;-74.01;-4.25;19;-7.72;19;-10.91;91;-11.62;19;-13.92;;WCDMA;;;;;;;;0;;;0.86;;;;;;;;;
 08/11/2010 11:08:20.032;10.20952;36.83008;46;;;;2162.6;CELL_DCH;605;1;10011;-61.83;-20.25;11.08;0;256;256;19;-3.35;-68.76;-0.72;19;-4.01;19;-5.63;91;-10.57;19;-14.25;20;HSUPA;0;0;0;;3238.58;0;0;1.3;0;1.3;0.58;;;;;;;;;
 08/11/2010 11:08:21.036;10.20963;36.83013;42;;;;2162.6;CELL_DCH;605;1;10011;-65.5;-11.98;8.82;;256;256;19;-3.87;-67.94;-2.13;19;-9;19;-9.12;19;-9.25;19;-11.31;18;HSUPA;0;0;0;;2491;0;0;5.09;0;5.09;6.38;;;;;;;;;
 08/11/2010 11:08:22.037;10.20973;36.83018;40;;;;2162.6;CELL_DCH;605;1;10011;-65.92;-18.56;11.46;0;256;256;19;-2.1;-65;-1.54;91;-6.54;19;-6.79;19;-9.85;19;-11.05;20;HSUPA;0;0;0;;3066.93;0;0;3.04;0;3.04;1.39;;;;;;;;;
 08/11/2010 11:08:23.038;10.20984;36.83024;40;;;;2162.6;CELL_DCH;605;1;10011;-63.67;-18.85;9.66;;256;256;19;-2.81;-68.38;-1.25;19;-5.64;19;-5.82;19;-11.25;19;-13.01;20;HSUPA;0;0;0;;3072.83;0;0;6.62;0;6.62;2.93;;0;0;1.55;0.32;2.21;0.98;2.31;1.08
