Time;Longitude;Latitude;Speed(km/h);UC-ID;RNC-ID;C-ID;Frequency;RRC State;MCC;MNC;LAC;Rx Power(W);Tx Power(W);SIR;BLER(W);SF(Downlink);SF(Uplink);Best PSC(W);Best EcIo(W);Best RSCP(W);Combined EcIo(W);Top 1 PSC;Top 1 EcIo;Top 2 PSC;Top 2 EcIo;Top 3 PSC;Top 3 EcIo;Top 4 PSC;Top 4 EcIo;LAC;CQI;System Type;Success Rate;BLER(HARQ);Retrans Rate;No. of Codes;Phy Layer Throughput(Requested);Phy Layer Throughput(Served);Phy Layer Throughput(Scheduled);RLC Layer Throughput;MAC-hs Layer Throughput;RLC Layer(AM) UL TP;RLC Layer(AM) DL TP;Call Event;Rx APP Throughput;Tx APP Throughput;Rx TCP/UDP Throughput;Tx TCP/UDP Throughput;Rx IP Throughput;Tx IP Throughput;Rx PPP Throughput;Tx PPP Throughput
 08/17/2010 10:47:27.110;10.18696;36.82965;0;;;;2167.6;;;;;-79.83;;;;;;76;-7.05;-83.05;-11.61;76;-15.77;76;-18.33;76;-19.55;76;-20.09;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:47:28.165;10.18696;36.82965;0;;;;2167.6;;;;;-79.58;;;;;;76;-7.35;-86.93;-6.64;76;-10.7;76;-10.88;76;-14.66;76;-19.31;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:47:29.173;10.18696;36.82965;0;;;;2167.6;;;;;-80.42;;;;;;76;-6.67;-86.5;-6.92;76;-12.44;76;-12.98;76;-13.65;76;-14.71;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:47:30.181;10.18696;36.82965;0;;;;2167.6;;;;;-78.42;;;;;;76;-10.34;-90.17;-12.24;76;-16.97;76;-17.76;76;-18.34;76;-23.41;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:47:31.301;10.18696;36.82965;0;;;;2167.6;;;;;-75.33;;;;;;76;-7.51;-87.35;-9.67;76;-12.77;76;-17.11;76;-17.56;76;-21.47;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:47:32.302;10.18696;36.82965;0;;;;2167.6;;;;;-75.42;;;;;;76;-13.22;-88.06;-13.07;76;-17.64;76;-18.98;76;-20.6;76;-21.13;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:47:33.312;10.18696;36.82965;0;;;;2167.6;;;;;-78.5;;;;;;76;-10.25;-85.08;-10.36;76;-14.17;76;-14.88;76;-21.04;76;-21.57;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:47:35.327;10.18696;36.82965;0;;;;2167.6;;;;;-77.25;;;;;;76;-6.26;-83.26;-7.5;76;-9.69;76;-16;76;-16.82;76;-17.15;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:47:36.461;10.18696;36.82965;0;;;;2167.6;;;;;-76.67;;;;;;76;-6.01;-81.76;-8.57;76;-13.97;76;-14.09;76;-14.43;76;-17.09;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:47:37.498;;;;;;;2167.6;;;;;-76.33;;;;;;76;-7.8;-83.55;-8.33;76;-13.34;76;-13.43;76;-15.17;76;-17.17;;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:47:38.520;10.18696;36.82966;0;;;;2167.6;Connecting;605;1;10011;-76.58;;;;;128;76;-5.82;-81.32;-6.55;76;-10.53;76;-11.33;76;-15.23;76;-17.99;10011;;WCDMA;;;;;;;;0;;;;Attempt;;;;;;;;
 08/17/2010 10:47:39.528;10.18696;36.82966;0;;;;2167.6;CELL_DCH;605;1;10011;-77.25;-10.98;9.67;;256;256;76;-4.75;-81.84;-7.69;76;-11.73;76;-11.81;76;-16.75;76;-18.23;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:47:40.532;10.18696;36.82966;0;;;;2167.6;CELL_DCH;605;1;10011;-77.33;-11.44;8.92;0;256;256;76;-5.77;-82.85;-6.92;76;-10.31;76;-10.47;76;-17.05;76;-32.24;10011;;WCDMA;;;;;;;;1.44;;1.44;1.3;;;;;;;;;
 08/17/2010 10:47:41.534;10.18696;36.82966;0;;;;2167.6;CELL_DCH;605;1;10011;-77.42;-12.02;8.46;;256;256;76;-6.1;-83.38;-4.34;76;-8.16;76;-10.89;76;-11.56;76;-15.55;10011;18;HSUPA;0;0;0;;2413.38;0;0;0.58;0;0.58;0.29;;;;;;;;;
 08/17/2010 10:47:42.539;10.18696;36.82966;0;;;;2167.6;CELL_DCH;605;1;10011;-77.25;-6.91;7.99;;256;256;76;-6.25;-82.94;-4.59;76;-9.36;76;-10.65;76;-14.17;76;-14.4;10011;18;HSUPA;1;0;0;2;2524.89;3.43;343;2.75;3.43;2.75;3.94;;;;;;;;;
 08/17/2010 10:47:43.541;10.18696;36.82966;0;;;;2167.6;CELL_DCH;605;1;10011;-76.67;-0.88;7.36;0;256;256;76;-5.94;-82.89;-4.99;76;-10.61;76;-10.94;76;-12.37;76;-14.26;10011;18;HSUPA;0;0;0;;2351.12;0;0;2.18;0;2.18;1.1;;;;;;;;;
 08/17/2010 10:47:44.548;10.18696;36.82966;0;;;;2167.6;CELL_DCH;605;1;10011;-75.17;-0.84;7.8;;256;256;76;-5.38;-81.87;-4.96;76;-10.67;76;-11.29;76;-13.85;76;-14.86;10011;18;HSUPA;3;0;0;2;2615.38;10.29;343;3.28;10.29;3.28;5.71;;;;;;;;;
 08/17/2010 10:47:45.549;10.18696;36.82966;0;;;;2167.6;CELL_DCH;605;1;10011;-77.92;-3.42;8.51;0;256;256;76;-4.63;-80.69;-4.76;76;-9.5;76;-10.38;76;-14.12;76;-14.58;10011;18;HSUPA;1;0;0;2;2537.75;3.43;343;6.56;3.43;6.56;4.03;;2.61;4.54;2.81;3.25;3;3.65;3.05;3.75
 08/17/2010 10:47:48.091;10.18696;36.82966;0;;;;2167.6;CELL_DCH;605;1;10011;-79.58;-2.68;10.36;;256;256;76;-3.76;-80.38;-3.35;76;-8.57;76;-8.86;76;-11.12;76;-12.13;10011;20;HSUPA;0;0;0;;3259.65;0;0;0;0;;;;10.21;24.57;11.42;26.26;12.54;27.86;12.82;28.26
 08/17/2010 10:47:49.091;10.18696;36.82966;0;;;;2167.6;CELL_DCH;605;1;10011;-74.25;-2.91;9.93;;256;256;76;-3.99;-80.68;-2.92;76;-6.29;76;-9.83;76;-11.99;76;-14.65;10011;19;HSUPA;9;0;33.33;3.89;2876.02;113.21;1257.83;88.56;113.21;88.56;36.96;;20.9;6.55;21.76;7.38;22.62;8.18;22.97;8.39
 08/17/2010 10:47:50.106;10.18696;36.82966;0;;;;2167.6;CELL_DCH;605;1;10011;-74.92;1.52;8.66;;256;;76;-5.86;-80.85;-4.72;76;-9.75;76;-11.46;76;-13.98;76;-14.83;10011;19;HSUPA;1;0;0;2;2900.7;3.43;343;24.93;3.43;24.93;8.06;;14.77;7.7;19.34;8.5;20.14;9.3;20.38;9.5
 08/17/2010 10:47:51.107;10.18696;36.82966;0;;;;2167.6;CELL_DCH;605;1;10011;-77.67;-2.06;9.48;;256;;76;-4.69;-80.63;-2.54;76;-8.67;76;-8.74;76;-10.81;76;-12.98;10011;19;HSUPA;1;0;0;2;2832.28;3.43;343;1.31;3.43;1.31;1.68;;0;0;0.26;6.98;0.42;7.62;0.46;7.78
 08/17/2010 10:47:52.108;10.18696;36.82966;0;;;;2167.6;CELL_DCH;605;1;10011;-77.58;2.66;8.18;;256;;76;-4.95;-83.13;-4.87;76;-10.36;76;-12.1;76;-12.54;76;-14.29;10011;18;HSUPA;0;0;0;;2367.7;0;0;9.18;0;9.18;9.07;;5.25;12.26;6.96;0.32;7.6;0.64;7.76;0.72
 08/17/2010 10:47:53.126;10.18696;36.82966;0;;;;2167.6;CELL_DCH;605;1;10011;-77.42;1.5;9.96;;256;;76;-5.87;-83.29;-3.12;76;-7.32;76;-8.72;76;-11.6;76;-14.59;10011;18;HSUPA;0;0;0;;2447.18;0;0;0;0;;;;;;;;;;;
 08/17/2010 10:47:54.127;10.18696;36.82966;0;;;;2167.6;CELL_DCH;605;1;10011;-76.17;0.92;8.38;;256;;76;-5.16;-81.64;-3.92;76;-8.88;76;-9.47;76;-11.03;76;-11.15;10011;19;HSUPA;0;0;0;;2911.85;0;0;0;0;;;Success;0;0;0;0;0;0;0;0
 08/17/2010 10:47:55.130;10.18696;36.82966;0;;;;2167.6;CELL_DCH;605;1;10011;-76.17;1.9;9.47;;256;256;76;-5.84;-81.64;-1.59;76;-6.51;76;-8.69;76;-8.73;76;-10.06;10011;20;HSUPA;0;0;0;;3022.66;0;0;2.91;0;2.91;1.49;;;;;;;;;
 08/17/2010 10:47:56.166;10.18696;36.82966;0;7274811;111;315;2167.6;Disconnected;605;1;10011;-74.42;1.32;9.47;;256;256;76;-5.02;-80.1;-2.07;76;-6.87;76;-7.14;76;-7.83;76;-17.11;10011;20;WCDMA;0;0;0;;3022.66;0;0;0.14;0;0.14;0.14;;;;;;;;;
 08/17/2010 10:47:57.176;10.18696;36.82966;0;7274811;111;315;2167.6;Disconnected;605;1;10011;-75;;9.47;;256;256;76;-4.71;-79.79;-1.68;76;-5.54;76;-6.59;76;-8.6;76;-17.68;10011;20;WCDMA;0;0;0;;3022.66;0;0;0;0;;;;;;;;;;;
 08/17/2010 10:47:58.200;10.18696;36.82966;0;7274811;111;315;2167.6;Disconnected;605;1;10011;-75.92;;9.47;;256;256;76;-4.5;-79;-2.82;76;-6.95;76;-7.52;76;-11.38;76;-16.19;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:47:59.271;10.18696;36.82966;0;7274811;111;315;2167.6;Disconnected;605;1;10011;-78.67;;9.47;;256;256;76;-6.33;-85;-5.84;76;-11.38;76;-11.91;76;-14.58;76;-14.97;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:48:00.300;10.18696;36.82966;0;7274811;111;315;2167.6;Disconnected;605;1;10011;-80;;;;;;76;-4.4;-84.57;-4.78;76;-9.64;76;-10.28;76;-14.13;76;-14.15;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:48:01.362;10.18696;36.82966;0;7274811;111;315;2167.6;Disconnected;605;1;10011;-79;;;;;;76;-5.12;-85.28;-7.76;76;-14.23;76;-14.43;76;-16.92;76;-17.74;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:48:02.364;10.18696;36.82966;0;7274811;111;315;2167.6;Disconnected;605;1;10011;-80;;;;;;76;-8.91;-89.08;-9.95;76;-15.3;76;-16.68;76;-18.11;76;-19.85;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:48:03.398;10.18696;36.82966;1;7274811;111;315;2167.6;Disconnected;605;1;10011;-79.75;;;;;;76;-9.85;-90.02;-10.29;76;-15.95;76;-16.8;76;-19.36;76;-21.09;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:48:04.402;10.18695;36.82966;1;7274811;111;315;2167.6;Disconnected;605;1;10011;-78.83;;;;;;;;;-9.19;76;-14.83;76;-15.96;76;-17.38;76;-18.43;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:48:05.522;10.18695;36.82967;1;7274811;111;315;2162.6;Disconnected;605;1;10011;-78.25;;;;;;76;-5.78;-84.7;-4.14;76;-8.36;76;-8.53;76;-14;76;-18.05;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:48:06.616;10.18695;36.82967;1;7274811;111;315;2162.6;Disconnected;605;1;10011;-80.25;;;;;;76;-6.88;-85.8;-8.2;76;-13.62;76;-15.22;76;-15.78;76;-17.3;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:48:08.166;10.18695;36.82967;1;7274811;111;315;2162.6;Disconnected;605;1;10011;-78.92;;;;;;76;-6.82;-85.74;-6.31;76;-11.05;76;-11.31;76;-15.19;76;-16.76;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:48:09.178;10.18694;36.82967;2;7274811;111;315;2167.6;Disconnected;605;1;10011;-81;;;;;;76;-6.97;-86.31;-12.63;76;-17.96;76;-18.29;76;-22.86;76;-24.14;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:48:10.201;10.18694;36.82966;2;7274811;111;315;2167.6;Disconnected;605;1;10011;-78.25;;;;;;;;;-9.22;76;-15.09;76;-16.35;76;-16.41;76;-16.92;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:48:11.300;10.18693;36.82966;2;7274811;111;315;2167.6;Disconnected;605;1;10011;-79.08;;;;;;;;;-14.92;76;-21.38;76;-21.7;76;-24.05;76;-24.27;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:48:12.300;10.18693;36.82966;2;7274811;111;315;2167.6;Disconnected;605;1;10011;-79.25;;;;;;76;-7.29;-88.12;-10.74;76;-16.94;76;-16.94;76;-18.31;76;-19.52;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:48:13.305;10.18693;36.82966;1;7274811;111;315;2167.6;Disconnected;605;1;10011;-78.83;;;;;;;;;-12.26;76;-18.79;76;-18.98;76;-20.7;76;-22.38;10011;;WCDMA;;;;;;;;0;;;;Attempt;;;;;;;;
 08/17/2010 10:48:14.318;10.18693;36.82966;0;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-77.42;-1.17;9.16;;256;256;76;-6.54;-86.37;-15.54;76;-15.78;76;-28.18;;;;;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:48:15.322;10.18692;36.82968;4;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-77.42;-5.67;8.28;;256;256;76;-6.19;-82.47;-11.75;76;-15.08;76;-17.89;76;-18.02;76;-26.86;10011;;WCDMA;;;;;;;;2.45;;2.45;;;;;;;;;;
 08/17/2010 10:48:16.326;10.1869;36.82969;9;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-78.8;-11.4;8.79;0;256;256;76;-5.47;-84.27;-6.95;76;-10.26;76;-11.28;76;-17.9;488;-20.49;10011;;WCDMA;;;;;;;;2.59;;;;;;;;;;;;
 08/17/2010 10:48:17.357;10.18686;36.82971;12;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-78.67;-7.04;9.64;0;256;256;76;-6.88;-86.65;-9.77;76;-14.6;76;-16.86;76;-19.06;488;-19.58;10011;;HSUPA;;;;;;;;0.86;;0.86;0.43;;;;;;;;;
 08/17/2010 10:48:18.658;10.18686;36.82971;13;7274811;111;315;2167.6;CELL_DCH;605;1;10011;;;9.64;;256;256;76;-6.88;;-9.77;;;;;;;;;10011;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/17/2010 10:48:19.660;10.18681;36.82976;12;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-80.42;5.62;9.27;0;256;256;76;-6.14;-86.6;-4.59;76;-11.25;76;-11.62;76;-12.68;211;-13.33;10011;15;HSUPA;0;0;0;;1668.17;0;0;3.33;0;3.33;2.11;;0;0;0;0;0;1.01;0;1.11
 08/17/2010 10:48:21.991;10.18678;36.82978;12;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-81.58;6.05;5.77;;256;256;76;-6.66;-87.37;-4.51;401;-10.9;76;-11.24;211;-11.45;76;-14.26;10011;13;WCDMA;0;0;0;;1252.99;0;0;2.69;0;2.69;1.15;;0;0;0;0;0.96;0;1.06;0
 08/17/2010 10:48:22.997;10.18672;36.82982;12;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-80.42;6.94;8.01;0;256;256;76;-5.69;-85.97;-4.78;76;-10.38;488;-10.45;76;-14.53;76;-15.29;10011;16;HSDPA;0;0;0;;1943.33;0;0;8.37;0;8.37;7.06;;0;0;0;0.99;0.38;1.63;0.42;1.7
 08/17/2010 10:48:24.001;10.18669;36.82984;12;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-79.58;4.69;7.51;0;256;256;76;-5.11;-84.44;-5.91;76;-9.91;76;-12.36;76;-12.68;76;-19.27;10011;16;HSUPA;1;0;0;2;2072.85;3.43;343;2.4;3.43;2.4;1.58;;0;0;0;0;0.48;0.48;0.53;0.53
 08/17/2010 10:48:25.005;10.18667;36.82986;12;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-77.92;4.87;8.76;;256;256;76;-4.89;-84.2;-3.72;232;-9.8;76;-9.81;76;-11.49;232;-12.5;10011;15;HSUPA;2;50;100;2;1730.79;6.86;343;3.98;3.43;3.98;3.17;;0;0;0;0;0.48;0.48;0.53;0.53
 08/17/2010 10:48:26.022;10.18665;36.82988;12;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-78.92;1.19;8.77;0;256;256;76;-3.92;-83.23;-3.24;76;-8.54;76;-11.06;76;-11.27;76;-12.32;10011;18;HSUPA;1;0;0;2;2537.91;3.43;343;3.55;3.43;3.55;2.02;;0;0;0;0;0.64;0.32;0.71;0.36
 08/17/2010 10:48:27.028;10.18663;36.8299;11;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-80;-2.62;9.35;;256;256;76;-3.83;-81.98;-3.17;76;-6.7;76;-10.83;76;-11.84;401;-14.38;10011;16;HSUPA;1;0;0;2;1914.38;3.43;343;3.04;3.43;3.04;1.54;;0;0;0;0;0.48;0.48;0.54;0.54
 08/17/2010 10:48:28.044;10.18661;36.82992;10;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-76.67;0.35;8.42;0;256;256;76;-4.04;-82.42;-2.64;76;-7.55;76;-9.13;76;-12.14;76;-12.28;10011;17;HSUPA;0;0;0;;2114.31;0;0;4.06;0;4.06;3.79;;0;0;0;0;0.48;0.48;0.53;0.53
 08/17/2010 10:48:29.079;10.18659;36.82994;9;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-76.5;0.18;6.47;;256;256;76;-5.96;-81.55;-2.72;76;-7.52;76;-8.38;76;-11.08;76;-12.66;10011;14;HSUPA;2;50;100;2;1599.66;6.86;343;2.61;3.43;2.61;1.54;;0;0;0;0;0.48;0.48;0.54;0.53
 08/17/2010 10:48:30.084;10.18657;36.82997;6;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-79.75;-0.34;7.94;0;256;256;76;-6;-83.07;-4.72;76;-8.97;76;-10.82;401;-11.92;76;-16.57;10011;17;HSUPA;5;0;0;2.6;2118.52;30.32;606.3;4.94;30.32;4.94;2.74;;0;0;2.81;2.1;3.93;3.38;4.14;3.63
 08/17/2010 10:48:31.096;10.18657;36.82997;4;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-76.33;-3.73;6.49;;256;256;76;-6.37;-84.23;-3.48;76;-7.67;76;-10.34;401;-12.61;401;-14.76;10011;15;HSUPA;0;0;0;;1826.82;0;0;9.47;0;9.47;5.62;;0;0;0;0;0.48;0.48;0.53;0.53
 08/17/2010 10:48:32.102;10.18657;36.82997;1;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-76.42;-3.06;6.55;0;256;256;76;-6.38;-83.39;-4.34;76;-9.41;76;-9.98;401;-13.31;76;-14.86;10011;16;HSUPA;0;0;0;;1944.78;0;0;2.26;0;2.26;1.58;;0;0;0;0;0.48;0.48;0.53;0.53
 08/17/2010 10:48:33.120;10.18656;36.82997;1;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-76.75;-7.16;6.89;;256;256;76;-6.86;-84.71;-5.52;76;-9.05;76;-12.31;76;-13.35;76;-15.59;10011;16;HSUPA;1;0;0;2;1922.65;3.43;343;3.94;3.43;3.94;4.66;;0;0;5;2.05;6.28;3.33;6.57;3.58
 08/17/2010 10:48:34.121;10.18656;36.82997;0;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-77.08;-6.8;6.05;0;256;256;76;-5.53;-82.26;-9.53;76;-14.23;76;-15.46;76;-16.77;76;-16.85;10011;16;HSUPA;26;15.38;18.18;7.19;2048.63;628.95;2419.04;16.9;505.54;16.9;6.48;;0;0;161.53;2.88;164.09;4.48;165.06;4.88
 08/17/2010 10:48:35.140;10.18656;36.82997;0;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-79.08;-6.61;6.96;;256;256;76;-8.47;-86.45;-6.62;76;-12.34;211;-13.55;76;-14.39;76;-15.61;10011;15;HSUPA;0;0;0;;1792.51;0;0;469.04;0;469.04;16.27;;0;0;514.19;4.16;522.35;8.8;524.97;9.9
 08/17/2010 10:48:36.141;10.18656;36.82997;0;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-77.83;-6.18;6.76;0;256;256;76;-8.39;-86.84;-8.03;211;-14.46;76;-15.4;76;-15.56;76;-18.42;10011;15;HSUPA;33;15.15;17.86;5.7;1714.09;631.05;1912.29;258.96;511.83;258.96;17.38;;0;0;94.27;2.53;96.83;4.29;98.22;4.66
 08/17/2010 10:48:37.143;10.18656;36.82997;0;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-77.25;-2.16;9.95;;256;256;76;-3.86;-81.1;-3.12;76;-5.29;401;-11.14;76;-14.66;211;-14.79;10011;17;HSUPA;4;0;0;2;2312.84;13.72;343;503.71;13.72;503.71;21.36;;0;0;909.61;43.62;923.98;74.18;930.38;81.94
 08/17/2010 10:48:38.144;10.18656;36.82997;0;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-76.08;-2.38;11.68;0;256;256;76;-3.58;-80.37;-2.64;76;-6.21;76;-8.22;76;-10.32;76;-13.59;10011;18;HSUPA;2;50;100;2;2718.04;6.86;343;571.22;3.43;571.22;84;;0;0;0.16;0.26;0.8;0.9;0.89;0.99
 08/17/2010 10:48:39.149;10.18656;36.82997;3;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-79.75;-4.64;10.47;;256;256;76;-2.58;-80.91;0.21;76;-4.6;76;-4.79;76;-7.2;76;-7.55;10011;21;HSUPA;3;0;0;2;3585.43;10.29;343;6.03;10.29;6.03;3.65;;0;0;0.32;0.51;1.12;1.31;1.25;1.44
 08/17/2010 10:48:40.149;10.18656;36.83;6;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-75.5;-4.57;12.92;0;256;256;76;-2.8;-79.57;-0.8;76;-5.37;76;-6.43;76;-7.51;76;-9.97;10011;20;HSUPA;5;40;66.67;2;3288.53;17.15;343;4.94;10.29;4.94;2.98;;0;0;0;35.84;0.93;58.72;1.02;64.54
 08/17/2010 10:48:41.156;10.18657;36.83002;8;7274811;111;315;2167.6;CELL_DCH;605;1;10011;-78.25;-6.66;11.87;;256;256;76;-2.44;-80.14;-1.81;76;-5.96;76;-7.49;76;-9.14;76;-13.36;10011;24;HSUPA;1;0;0;2;6035.71;3.43;343;7.87;3.43;7.87;56.11;;0;0;0;0.26;0.48;0.9;0.53;0.98
