Time;Longitude;Latitude;Speed(km/h);UC-ID;RNC-ID;C-ID;Frequency;RRC State;MCC;MNC;LAC;Rx Power(W);Tx Power(W);SIR;BLER(W);SF(Downlink);SF(Uplink);Best PSC(W);Best EcIo(W);Best RSCP(W);Combined EcIo(W);Top 1 PSC;Top 1 EcIo;Top 2 PSC;Top 2 EcIo;Top 3 PSC;Top 3 EcIo;Top 4 PSC;Top 4 EcIo;LAC;Call Event;Rx APP Throughput;Tx APP Throughput;Rx TCP/UDP Throughput;Tx TCP/UDP Throughput;Rx IP Throughput;Tx IP Throughput;Rx PPP Throughput;Tx PPP Throughput
 08/23/2010 11:23:18.337;10.19618;36.73425;57;;;;;;;;;-63.25;;;;;;;;;-5.12;198;-7.9;198;-8.37;;;;;;;;;;;;;;
 08/23/2010 11:23:19.576;10.19603;36.73416;57;;;;;;;;;-64.08;;;;;;198;-3.34;-67.34;-3.99;198;-6.5;198;-7.56;;;;;;;;;;;;;;
 08/23/2010 11:23:20.580;10.19589;36.73407;57;;;;;;;;;-66.25;;;;;;198;-3.18;-67.43;-4.52;198;-7.29;198;-7.79;;;;;;;;;;;;;;
 08/23/2010 11:23:21.767;10.19575;36.73399;56;;;;;;;;;-64.25;;;;;;198;-5.5;-69.75;-5.11;198;-7.69;198;-8.6;;;;;;;;;;;;;;
 08/23/2010 11:23:22.796;10.19562;36.73391;53;;;;;;;;;-70.58;;;;;;198;-4.89;-69.14;-4.8;198;-7.59;198;-8.13;198;-25.21;;;;;;;;;;;;
 08/23/2010 11:23:23.830;10.19538;36.73377;48;;;;;;;;;-74.42;;;;;;198;-3.26;-73.6;-7.62;198;-10.27;198;-11.03;;;;;;;;;;;;;;
 08/23/2010 11:23:26.799;10.19538;36.73377;40;;;;;;;;;;;;;;;198;-3.26;;-7.62;;;;;;;;;;;;;;;;;;
 08/23/2010 11:23:27.853;10.19512;36.73362;20;;;;2162.6;;;;;-71.33;;;;;;198;-4.95;-79.11;-5.1;198;-7.86;198;-8.36;;;;;;Attempt;;;;;;;;
 08/23/2010 11:23:28.873;10.19508;36.73359;17;;;;2162.6;CELL_DCH;605;1;10001;-72.25;-13.4;7.25;;256;256;198;-5.47;-76.77;-6.52;198;-9.38;198;-9.75;198;-27.96;;;10001;;;;;;;;;
 08/23/2010 11:23:29.880;10.19505;36.73358;14;;;;2162.6;CELL_DCH;605;1;10001;-72.17;-21.37;8.96;;256;256;198;-4.89;-78.15;-5.72;342;-9.01;55;-11.14;198;-16.6;198;-16.65;10001;;;;;;;;;
 08/23/2010 11:23:30.882;10.19504;36.73357;9;;;;2162.6;CELL_DCH;605;1;10001;-70.67;-21.29;9.05;0;256;256;198;-5;-78.49;-4.4;198;-6.88;198;-10.33;342;-12.72;55;-24.39;10001;;;;;;;;;
 08/23/2010 11:23:31.883;10.19503;36.73357;4;;;;2162.6;CELL_DCH;605;1;10001;-73.5;-19.11;9.92;0;256;256;198;-3.94;-76.68;-2.95;198;-6.76;198;-6.82;342;-12.72;342;-14.89;10001;;;;;;;;;
 08/23/2010 11:23:32.885;10.19503;36.73357;2;;;;2162.6;CELL_DCH;605;1;10001;-71.58;-12.06;10.92;;256;256;198;-3.69;-75.55;-3.53;198;-4.55;198;-10.31;;;;;10001;;;;;;;;;
 08/23/2010 11:23:33.902;10.19503;36.73357;0;;;;2162.6;CELL_DCH;605;1;10001;-76.42;-7.26;10.82;0;256;256;198;-3.66;-75.65;-3.42;198;-4.28;198;-11.09;198;-25.14;198;-29.65;10001;;;;;;;;;
