Time;Longitude;Latitude;Speed(km/h);UC-ID;RNC-ID;C-ID;Frequency;RRC State;MCC;MNC;LAC;Rx Power(W);Tx Power(W);SIR;BLER(W);SF(Downlink);SF(Uplink);Best PSC(W);Best EcIo(W);Best RSCP(W);Combined EcIo(W);Top 1 PSC;Top 1 EcIo;Top 2 PSC;Top 2 EcIo;Top 3 PSC;Top 3 EcIo;Top 4 PSC;Top 4 EcIo;CQI;System Type;Success Rate;BLER(HARQ);Retrans Rate;No. of Codes;Phy Layer Throughput(Requested);Phy Layer Throughput(Served);Phy Layer Throughput(Scheduled);RLC Layer Throughput;MAC-hs Layer Throughput;RLC Layer(AM) UL TP;RLC Layer(AM) DL TP;Call Event;Rx APP Throughput;Tx APP Throughput;Rx TCP/UDP Throughput;Tx TCP/UDP Throughput;Rx IP Throughput;Tx IP Throughput;Rx PPP Throughput;Tx PPP Throughput
 08/16/2010 10:52:04.376;10.1846;36.81913;1;;;;2162.6;;;;;-80.08;;;;;;489;-8.72;-89.06;-10.8;489;-15.75;489;-18.02;489;-18.8;489;-22.3;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/16/2010 10:52:05.517;10.1846;36.81913;0;;;;2162.6;;;;;-79.67;;;;;;;;;-11.61;489;-17.79;489;-18.64;489;-19.5;489;-20.61;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/16/2010 10:52:06.523;10.18461;36.81914;0;7274659;111;163;2162.6;;605;1;;-80.5;;;0;;;93;-7.23;-87.65;-5.06;93;-9.53;93;-9.75;93;-12.68;93;-16.16;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/16/2010 10:52:07.569;10.18461;36.81914;0;7274659;111;163;2162.6;;605;1;;-81.83;;;;;;93;-8.5;-88.42;-12.21;93;-18.19;93;-19.49;93;-20.12;93;-21.65;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/16/2010 10:52:08.634;10.18462;36.81915;0;7274659;111;163;2162.6;;605;1;;-79.92;;;;;;93;-5.75;-85.67;-4.18;93;-8.46;93;-8.55;93;-14.28;93;-17.46;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/16/2010 10:52:09.697;10.18463;36.81915;1;7274659;111;163;2167.6;;605;1;;-79;;;;;;93;-6.38;-86.3;-4.59;93;-8.26;93;-10.52;93;-11.49;93;-19.23;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/16/2010 10:52:10.708;10.18463;36.81914;2;7274659;111;163;2162.6;;605;1;;-81;;;;;;93;-9.4;-87.48;-10.02;93;-15.17;93;-16.14;93;-19.29;93;-20.98;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/16/2010 10:52:11.718;10.18463;36.81913;3;7274659;111;163;2167.6;;605;1;;-81.67;;;;;;;;;-10.56;93;-15.81;93;-16.8;93;-17.03;93;-23.73;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/16/2010 10:52:12.861;10.18462;36.81912;3;7274659;111;163;2162.6;;605;1;;-81.17;;;;;;93;-5.86;-86.19;-6.67;93;-11.79;93;-12.5;93;-13.75;93;-19.02;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/16/2010 10:52:13.863;10.18462;36.81911;2;7274659;111;163;2162.6;;605;1;;-80.42;;;;;;93;-8.29;-88.62;-7.42;93;-11.77;93;-12.34;93;-13.08;93;-24.84;;WCDMA;;;;;;;;0;;;;Attempt;;;;;;;;
 08/16/2010 10:52:14.864;10.18461;36.81911;1;7274659;111;163;2162.6;CELL_DCH;605;1;10011;-82;1.86;9.57;;256;256;93;-7.24;-88.42;-12.56;93;-14.14;93;-19.06;93;-24.33;93;-31.04;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/16/2010 10:52:15.868;10.18461;36.8191;4;7274659;111;163;2162.6;CELL_DCH;605;1;10011;-79.67;-0.99;9.08;;256;256;93;-5.93;-86.55;-4.77;489;-10.12;93;-11.07;489;-11.59;93;-12.44;;WCDMA;;;;;;;;2.59;;;;;;;;;;;;
 08/16/2010 10:52:16.881;10.1846;36.81908;4;7274659;111;163;2162.6;CELL_DCH;605;1;10011;-81.42;-3.1;9.08;0;256;256;489;-5.59;-86.14;-5.51;93;-10.19;93;-10.93;489;-12.87;489;-14.89;;WCDMA;;;;;;;;0;;;;;;;;;;;;
 08/16/2010 10:52:17.886;10.18459;36.81907;3;7274659;111;163;2162.6;CELL_DCH;605;1;10011;-81.17;-8.95;9.09;0;256;256;489;-5.92;-87.19;-3.55;489;-8.19;489;-9.91;93;-11.15;93;-13.64;;HSUPA;;;;;;;;1.73;;;;;;;;;;;;
 08/16/2010 10:52:19.309;10.18458;36.81906;3;7274659;111;163;2162.6;CELL_DCH;605;1;10011;-82.58;-1.92;8.58;;256;256;489;-5.84;-87.62;-3.7;93;-11.11;93;-11.26;93;-11.66;489;-12.25;15;HSUPA;0;0;0;;1651.71;0;0;1.73;0;1.73;2.83;;;;;;;;;
 08/16/2010 10:52:20.309;10.18458;36.81906;2;7274659;111;163;2162.6;CELL_DCH;605;1;10011;-81.25;5.7;7.38;0;256;256;93;-4.84;-86.26;-5.04;489;-11.33;489;-13.93;488;-15.14;93;-15.98;14;HSUPA;0;0;0;;1566.4;0;0;5.22;0;5.22;4.85;;;;;;;;;
 08/16/2010 10:52:21.314;10.18457;36.81905;4;7274659;111;163;2162.6;CELL_DCH;605;1;10011;-81;4.82;7.07;;256;256;93;-5.65;-85.9;-3.77;93;-8.89;93;-11.78;93;-12.46;488;-14.02;15;HSUPA;4;0;0;3.25;1841.05;27.02;675.63;7.22;27.02;7.22;8.06;;;;;;;;;
 08/16/2010 10:52:22.325;10.18456;36.81903;7;7274659;111;163;2162.6;CELL_DCH;605;1;10011;-82.42;7.68;8.72;0;256;256;489;-5.16;-86.52;-4.59;93;-7.22;489;-12.6;489;-15.87;489;-16.41;18;HSUPA;5;20;25;3.8;2451.61;53.44;1068.7;27.55;36.84;27.55;34.94;;6.38;19.92;8.7;19.18;10.09;21.26;10.47;21.83
 08/16/2010 10:52:23.325;10.18455;36.81901;9;7274659;111;163;2162.6;CELL_DCH;605;1;10011;-81.75;6.44;7.53;;256;256;93;-6.2;-86.14;-4.01;489;-10.48;489;-10.83;93;-12.07;93;-12.76;14;HSUPA;5;0;0;3.8;1551.06;47.01;940.3;26.9;47.01;26.9;28.56;;11.91;21.7;13.03;29.85;14.15;31.29;14.43;31.65
 08/16/2010 10:52:24.328;10.18454;36.81898;10;7274659;111;163;2162.6;CELL_DCH;605;1;10011;-79.5;6.74;6.99;;256;256;93;-4.82;-84.6;-3.48;489;-9.76;489;-11.98;489;-12.57;489;-13.16;15;HSUPA;1;0;0;2;1718.96;3.43;343;30.1;3.43;30.1;19.01;;20.21;17.03;21.17;13.43;22.13;14.23;22.43;14.43
 08/16/2010 10:52:25.338;10.18455;36.81896;8;7274659;111;163;2162.6;CELL_DCH;605;1;10011;-78.17;8.1;10.92;0;256;256;489;-6.29;-87.03;-6.12;489;-11.33;489;-12.98;489;-15.17;489;-15.85;13;HSUPA;3;0;0;1;1240.61;10.29;343;17.7;10.29;17.7;18.86;Success;0;0;4.74;3.32;5.2;4.46;5.31;4.75
 08/16/2010 10:52:26.347;10.18456;36.81894;11;7274659;111;163;2162.6;CELL_DCH;605;1;10011;-82.5;7.96;7.89;;256;256;93;-6.06;-85.97;-4.2;489;-8.61;489;-10.79;93;-13.99;489;-14.55;14;HSUPA;0;0;0;;1588.18;0;0;177.46;0;177.46;7.97;;;;;;;;;
 08/16/2010 10:52:27.352;10.18457;36.81891;12;7274659;111;163;2162.6;CELL_DCH;605;1;10011;-83.33;8.4;9.42;0;256;256;489;-5.64;-88.91;-4.65;489;-11.22;93;-12.29;489;-14.06;93;-15.34;11;HSUPA;0;0;0;;983.28;0;0;13.47;0;13.47;2.26;;;;;;;;;
